VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,7/1/2021 6:17,7/1/2021 6:25,N,1,75,42,1,3.63,12,0,0.5,0,0,,0.3,12.8,2,1,0
1,7/1/2021 6:01,7/1/2021 6:08,N,1,74,75,1,1.9,7.5,0.5,0.5,1.75,0,,0.3,10.55,1,1,0
1,7/1/2021 6:11,7/1/2021 6:13,N,1,75,74,1,1,4.5,0,0.5,0,0,,0.3,5.3,2,1,0
1,7/1/2021 6:21,7/1/2021 6:24,N,1,74,41,1,0.5,4,0,0.5,0,0,,0.3,4.8,4,1,0
1,7/1/2021 6:43,7/1/2021 6:50,N,1,74,43,1,1.4,7,0,0.5,0,0,,0.3,7.8,2,1,0
1,7/1/2021 6:50,7/1/2021 7:00,N,1,166,50,1,4.3,14,2.75,0.5,3.5,0,,0.3,21.05,1,1,2.75
2,7/1/2021 6:39,7/1/2021 7:27,N,1,152,194,1,5.47,32.5,0,0.5,0,6.55,,0.3,39.85,1,1,0
2,7/1/2021 6:02,7/1/2021 7:05,N,1,23,49,1,20.57,64.5,0,0.5,0,13.1,,0.3,78.4,1,1,0
2,7/1/2021 6:14,7/1/2021 6:27,N,1,130,132,1,5.71,18,0,0.5,0.01,0,,0.3,18.81,1,1,0
2,7/1/2021 6:21,7/1/2021 7:17,N,1,191,197,1,10,43.5,0,0.5,0,0,,0.3,44.3,1,1,0
2,7/1/2021 6:01,7/1/2021 6:01,N,2,174,174,2,0.06,52,0,0.5,0,0,,0.3,52.8,2,1,0
2,7/1/2021 6:01,7/1/2021 6:57,N,1,174,197,1,19.73,63.5,0,0.5,0,6.55,,0.3,70.85,1,1,0
2,7/1/2021 6:06,7/1/2021 6:37,N,2,74,132,6,17.54,52,0,0.5,10,6.55,,0.3,69.35,1,1,0
2,7/1/2021 6:07,7/1/2021 6:29,N,1,49,49,1,0.21,-12,0,-0.5,0,0,,-0.3,-12.8,4,1,0
2,7/1/2021 6:07,7/1/2021 6:29,N,1,49,49,1,0.21,12,0,0.5,0,0,,0.3,12.8,2,1,0
2,7/1/2021 6:57,7/1/2021 7:06,N,1,74,236,1,2.5,9.5,0,0.5,3.26,0,,0.3,16.31,1,1,2.75
2,7/1/2021 6:45,7/1/2021 6:57,N,1,74,238,1,2.6,11,0,0.5,2.91,0,,0.3,17.46,1,1,2.75
2,7/1/2021 6:22,7/1/2021 6:43,N,1,35,197,1,6.46,22.5,0,0.5,0,0,,0.3,23.3,1,1,0
